date,vader_compound,vader_label
2024-12-15,0.8221,POSITIVE
2024-12-21,-0.0772,NEGATIVE
2024-12-04,-0.9842,NEGATIVE
2024-12-29,0.8926,POSITIVE
2024-12-03,0.836,POSITIVE
2024-12-21,-0.6366,NEGATIVE
2024-12-01,0.5859,POSITIVE
2024-12-16,0.0,NEUTRAL
2024-12-12,-0.7013,NEGATIVE
2024-12-15,0.9245,POSITIVE
2024-12-19,0.7096,POSITIVE
2024-12-09,0.8126,POSITIVE
2024-12-15,-0.3182,NEGATIVE
2024-12-16,0.8176,POSITIVE
2024-12-19,-0.8834,NEGATIVE
2024-12-05,0.3875,POSITIVE
2024-12-11,0.6637,POSITIVE
2024-12-11,0.8853,POSITIVE
2024-12-14,0.9932,POSITIVE
2024-12-12,-0.5904,NEGATIVE
2024-12-29,-0.2617,NEGATIVE
2024-12-26,-0.7351,NEGATIVE
2024-12-14,0.9393,POSITIVE
2024-12-23,0.0,NEUTRAL
2024-12-03,0.802,POSITIVE
2024-12-14,0.0,NEUTRAL
2024-12-22,0.25,POSITIVE
2024-12-13,-0.969,NEGATIVE
2024-12-29,0.366,POSITIVE
2024-12-12,-0.4854,NEGATIVE
2024-12-22,-0.1045,NEGATIVE
2024-12-21,0.0,NEUTRAL
2024-12-22,-0.5994,NEGATIVE
2024-12-18,-0.6486,NEGATIVE
2024-12-23,0.5454,POSITIVE
2024-12-05,0.7345,POSITIVE
2024-12-20,0.9723,POSITIVE
2024-12-22,-0.8131,NEGATIVE
2024-12-17,0.9508,POSITIVE
2024-12-10,0.1531,POSITIVE
2024-12-24,0.0,NEUTRAL
2024-12-04,0.0,NEUTRAL
2024-12-25,0.3291,POSITIVE
2024-12-21,0.0516,POSITIVE
2024-12-30,0.765,POSITIVE
2024-12-23,0.0,NEUTRAL
2024-12-06,-0.3182,NEGATIVE
2024-12-30,-0.3818,NEGATIVE
2024-12-24,-0.777,NEGATIVE
2024-12-12,0.296,POSITIVE
2024-12-23,0.4019,POSITIVE
2024-12-15,0.9929,POSITIVE
2024-12-18,-0.825,NEGATIVE
2024-12-03,-0.5346,NEGATIVE
2024-12-09,-0.25,NEGATIVE
2024-12-02,-0.3291,NEGATIVE
2024-12-23,0.0,NEUTRAL
2024-12-14,-0.872,NEGATIVE
2024-12-26,0.1779,POSITIVE
2024-12-28,0.1779,POSITIVE
2024-12-03,0.8573,POSITIVE
2024-12-23,0.0,NEUTRAL
2024-12-21,0.0,NEUTRAL
2024-12-27,0.1663,POSITIVE
2024-12-11,0.4939,POSITIVE
2024-12-28,-0.3182,NEGATIVE
2024-12-08,-0.5267,NEGATIVE
2024-12-07,-0.8047,NEGATIVE
2024-12-27,-0.5267,NEGATIVE
2024-12-19,0.4215,POSITIVE
2024-12-23,0.0,NEUTRAL
2024-12-02,0.4315,POSITIVE
2024-12-15,0.8591,POSITIVE
2024-12-23,-0.217,NEGATIVE
2024-12-16,0.68,POSITIVE
2024-12-22,-0.4939,NEGATIVE
2024-12-02,-0.5727,NEGATIVE
2024-12-20,-0.6696,NEGATIVE
2024-12-23,0.0,NEUTRAL
2024-12-26,0.7178,POSITIVE
2024-12-21,0.7351,POSITIVE
2024-12-27,0.4588,POSITIVE
2024-12-10,0.6124,POSITIVE
2024-12-21,0.0,NEUTRAL
